id,name,type,baseHp,baseAttack,compatibleEquipments,recommendedEquipments,currentEquipments
358c2893-dd66-46c0-9c6e-3051549e921b,Boneheart,DRAGON,1500,12,b5fa8906-d294-4a29-bf54-97fabcb5d5d9|77bbae04-d962-4788-a062-93714a173389|72985727-7d3b-4e96-aa82-88b782173732,b5fa8906-d294-4a29-bf54-97fabcb5d5d9,b5fa8906-d294-4a29-bf54-97fabcb5d5d9|77bbae04-d962-4788-a062-93714a173389
a4af8ccb-a45d-48f7-b017-057b8135fbd9,Elora,MAGE,2400,25,19f21231-da98-40f6-a346-2d26928e9a35|75287be5-30a2-4ca4-9e4c-fbef18a9de4e|e5a095e8-84b4-49dc-94e0-a497db6e6eff,19f21231-da98-40f6-a346-2d26928e9a35,19f21231-da98-40f6-a346-2d26928e9a35|75287be5-30a2-4ca4-9e4c-fbef18a9de4e
ed0e2e20-03d4-4dee-a8a3-021a6a7b2c44,Asra,ASSASSIN,1400,22,19f21231-da98-40f6-a346-2d26928e9a35|b4ddc727-18fd-4f08-a202-8e2509c6a677|8aa0e8b2-874b-4f44-9506-f89f9bd2574d,19f21231-da98-40f6-a346-2d26928e9a35,19f21231-da98-40f6-a346-2d26928e9a35|b4ddc727-18fd-4f08-a202-8e2509c6a677
916296ca-c3dc-46af-8dda-61083ed4c0dd,Wilbur,DRAGON,1500,12,71bf983b-7bfc-4196-aa0a-68f3cec3efbd|77bbae04-d962-4788-a062-93714a173389|e5e025f9-ec6a-48d8-97fb-5526a937fe25,71bf983b-7bfc-4196-aa0a-68f3cec3efbd,71bf983b-7bfc-4196-aa0a-68f3cec3efbd|77bbae04-d962-4788-a062-93714a173389
1f694a73-4ab3-4f8b-b3a3-63c20ddcc07b,Nyru,MAGE,1300,26,e5e025f9-ec6a-48d8-97fb-5526a937fe25|8aa0e8b2-874b-4f44-9506-f89f9bd2574d|d1496be2-19b2-4e6b-aac1-1df8724b0f87,e5e025f9-ec6a-48d8-97fb-5526a937fe25,e5e025f9-ec6a-48d8-97fb-5526a937fe25|8aa0e8b2-874b-4f44-9506-f89f9bd2574d
56f99eca-5f93-477a-9f81-047315676443,Magnus,MAGE,1200,30,b5fa8906-d294-4a29-bf54-97fabcb5d5d9|2011d8f9-48bd-475c-99f2-65b9354c66b5|b5a719de-8313-46b0-a952-8ab2463e2d07,b5fa8906-d294-4a29-bf54-97fabcb5d5d9,b5fa8906-d294-4a29-bf54-97fabcb5d5d9|2011d8f9-48bd-475c-99f2-65b9354c66b5
b61254f2-7388-4dfb-a0bf-4ab3377f3f9a,Gerald,WARRIOR,3000,15,e4cc3392-3246-4e06-a8ad-135f69f4f0b6|dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b|d1496be2-19b2-4e6b-aac1-1df8724b0f87,e4cc3392-3246-4e06-a8ad-135f69f4f0b6,e4cc3392-3246-4e06-a8ad-135f69f4f0b6|dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b
f9c104c7-c8b7-4fba-854a-2f214cbcea81,Phoenix,DRAGON,1000,15,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b|2011d8f9-48bd-475c-99f2-65b9354c66b5|e4cc3392-3246-4e06-a8ad-135f69f4f0b6,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b|2011d8f9-48bd-475c-99f2-65b9354c66b5
4bfe4abe-8d34-4626-a2d0-9ed905246c90,Dante,ELF,2000,22,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b|9a5abfe0-df57-4311-99c4-ed5451beb366|e5a095e8-84b4-49dc-94e0-a497db6e6eff,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b,dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b|9a5abfe0-df57-4311-99c4-ed5451beb366
8b822f95-6b39-42e2-a57f-21c620b54e97,Vez'nan,MAGE,1800,24,e00ce2a4-55fc-4ae9-88f6-49c69d9fba49|b4ddc727-18fd-4f08-a202-8e2509c6a677|429254ba-c5fe-4796-bcf2-e47f3262b3bc,e00ce2a4-55fc-4ae9-88f6-49c69d9fba49,e00ce2a4-55fc-4ae9-88f6-49c69d9fba49|b4ddc727-18fd-4f08-a202-8e2509c6a677
d2ba014c-e3a3-4657-bde6-ac298c095a5b,Nivus,MAGE,1500,28,2011d8f9-48bd-475c-99f2-65b9354c66b5|77bbae04-d962-4788-a062-93714a173389|dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b,2011d8f9-48bd-475c-99f2-65b9354c66b5,2011d8f9-48bd-475c-99f2-65b9354c66b5|77bbae04-d962-4788-a062-93714a173389
2491be8f-b981-4221-83c9-d60d3e9c7065,Anya,ELF,2200,20,06b4b68e-f5ba-4b78-83b1-e09654d16a48|d1496be2-19b2-4e6b-aac1-1df8724b0f87|e5a095e8-84b4-49dc-94e0-a497db6e6eff,06b4b68e-f5ba-4b78-83b1-e09654d16a48,06b4b68e-f5ba-4b78-83b1-e09654d16a48|d1496be2-19b2-4e6b-aac1-1df8724b0f87
8b625e4d-46a8-43e4-94e5-4103038d5b24,Alric,WARRIOR,2600,18,429254ba-c5fe-4796-bcf2-e47f3262b3bc|b4ddc727-18fd-4f08-a202-8e2509c6a677|8aa0e8b2-874b-4f44-9506-f89f9bd2574d,429254ba-c5fe-4796-bcf2-e47f3262b3bc,429254ba-c5fe-4796-bcf2-e47f3262b3bc|b4ddc727-18fd-4f08-a202-8e2509c6a677
107f417d-c355-4e0c-8115-7046d1458467,Eiskalt,DRAGON,2000,20,b4ddc727-18fd-4f08-a202-8e2509c6a677|2011d8f9-48bd-475c-99f2-65b9354c66b5|dc4260ec-2adc-4d88-b5a1-3ef2752f2c0b,b4ddc727-18fd-4f08-a202-8e2509c6a677,b4ddc727-18fd-4f08-a202-8e2509c6a677|2011d8f9-48bd-475c-99f2-65b9354c66b5
62e414e8-a491-42bf-bd49-790ce3e1edd4,Eridan,ELF,2400,22,e4cc3392-3246-4e06-a8ad-135f69f4f0b6|b5fa8906-d294-4a29-bf54-97fabcb5d5d9|e5e025f9-ec6a-48d8-97fb-5526a937fe25,e4cc3392-3246-4e06-a8ad-135f69f4f0b6,e4cc3392-3246-4e06-a8ad-135f69f4f0b6|b5fa8906-d294-4a29-bf54-97fabcb5d5d9
